timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1672123070261,678,Authorisation User,200,OK,Thread Group 1-14,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,678,0,0
1672123067494,3641,Get an other user,404,Not Found,Thread Group 1-11,text,false,,943,1322,20,20,http://test-api.d6.dev.devcaz.com/v2/players/0,3641,0,0
1672123070671,568,Authorisation User,200,OK,Thread Group 1-17,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,568,0,0
1672123070589,661,Authorisation User,200,OK,Thread Group 1-4,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,661,0,0
1672123067605,3725,Get user,200,OK,Thread Group 1-1,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48970,3725,0,0
1672123071331,235,Get Token,200,OK,Thread Group 1-1,text,true,,1076,578,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,235,0,0
1672123067489,4161,Get user,200,OK,Thread Group 1-6,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48982,4161,0,0
1672123071136,547,Authorisation User,200,OK,Thread Group 1-11,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,547,0,0
1672123067791,3945,Get user,200,OK,Thread Group 1-3,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48971,3945,0,0
1672123068311,3442,Get an other user,404,Not Found,Thread Group 1-18,text,false,,943,1322,20,20,http://test-api.d6.dev.devcaz.com/v2/players/0,3442,0,0
1672123067879,3885,Get user,200,OK,Thread Group 1-12,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48970,3885,0,0
1672123068413,3726,Get user,200,OK,Thread Group 1-19,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48973,3726,0,0
1672123071684,665,Authorisation User,200,OK,Thread Group 1-11,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,665,0,0
1672123071651,698,Authorisation User,200,OK,Thread Group 1-6,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,698,0,0
1672123071737,780,Authorisation User,200,OK,Thread Group 1-3,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,780,0,0
1672123071755,764,Authorisation User,200,OK,Thread Group 1-18,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,764,0,0
